	Time	Alive	Apoptotic	Necrotic
0	0.0	1137.0	0.0	0.0
1	30.0	1225.0	1.0	0.0
2	60.0	1233.0	1.0	0.0
3	90.0	1241.0	8.0	0.0
4	120.0	1254.0	9.0	0.0
5	150.0	1277.0	11.0	0.0
6	180.0	1299.0	12.0	0.0
7	210.0	1333.0	17.0	0.0
8	240.0	1357.0	19.0	0.0
9	270.0	1403.0	21.0	0.0
10	300.0	1440.0	24.0	0.0
11	330.0	1482.0	27.0	0.0
12	360.0	1524.0	29.0	0.0
13	390.0	1589.0	29.0	0.0
14	420.0	1652.0	40.0	0.0
15	450.0	1724.0	41.0	0.0
16	480.0	1815.0	44.0	0.0
17	510.0	1925.0	43.0	0.0
18	540.0	2023.0	45.0	0.0
19	570.0	2077.0	55.0	0.0
20	600.0	2138.0	56.0	0.0
21	630.0	2193.0	60.0	0.0
22	660.0	2291.0	63.0	0.0
23	690.0	2332.0	63.0	0.0
24	720.0	2350.0	64.0	0.0
25	750.0	2374.0	66.0	0.0
26	780.0	2414.0	67.0	0.0
27	810.0	2451.0	67.0	0.0
28	840.0	2511.0	67.0	0.0
29	870.0	2570.0	63.0	0.0
30	900.0	2635.0	64.0	0.0
31	930.0	2723.0	61.0	0.0
32	960.0	2795.0	60.0	0.0
33	990.0	2882.0	59.0	0.0
34	1020.0	2986.0	58.0	0.0
35	1050.0	3120.0	58.0	0.0
36	1080.0	3251.0	65.0	0.0
37	1110.0	3423.0	67.0	0.0
38	1140.0	3593.0	70.0	0.0
39	1170.0	3774.0	78.0	0.0
40	1200.0	3942.0	87.0	0.0
41	1230.0	4058.0	90.0	0.0
42	1260.0	4181.0	95.0	0.0
43	1290.0	4335.0	99.0	0.0
44	1320.0	4449.0	106.0	0.0
45	1350.0	4491.0	111.0	0.0
46	1380.0	4532.0	115.0	0.0
47	1410.0	4593.0	121.0	0.0
48	1440.0	4666.0	132.0	0.0
